Lp.;Nazwa repozytorium;Nazwa zmiany;Data publikacji;Link URL
146;notification-integrations-comments;feat: add support for COMMENT_CREATE and CHANGE_COMMENT_VISIBILITY (#4);2020-08-31T14:17:23Z;https://github.schibsted.io/premium-notifications/notification-integrations-comments/commit/2c4beb467400fe4e764878f0db3aadfc06c25497
147;notification-service;chore: Encapsulate access to event payload (#42);2020-09-01T07:34:34Z;https://github.schibsted.io/premium-notifications/notification-service/commit/23b6caf6ae7df203057687277618ca6bfe66500c
148;comments-front;feat: add checkbox component and use it in user preferences (#540);2020-09-02T14:28:40Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/bb8a705bb421148f488a0755d35cdd7d99ed5679
149;comments-activity-store;chore: introduce bunyan for logging;2020-09-02T15:04:28Z;https://github.schibsted.io/bergens-tidende/comments-activity-store/commit/42f9dcc4da2cf2c65e98199dc90fa1f8acda71f8
150;comments-activity-store;pipe;2020-09-03T08:41:27Z;https://github.schibsted.io/bergens-tidende/comments-activity-store/commit/a9546bb12447bfb5612b3e2b795f3a4412ec0c5e
151;privacy-service;chore: introduce bunyan for logging (#86);2020-09-03T13:07:39Z;https://github.schibsted.io/bergens-tidende/privacy-service/commit/40c44c435c304eb5be50ea45a2dfc3f2a495f174
152;comments-stats-service;chore: introduce bunyan and do something with tests (#47);2020-09-03T13:17:35Z;https://github.schibsted.io/RND/comments-stats-service/commit/b5c698713d6c78ff297b3975b90bddd896c04c47
153;comments-stats-service;fix: app name (#48);2020-09-03T13:26:47Z;https://github.schibsted.io/RND/comments-stats-service/commit/5df887056cb971fd1fb17e974c5e13044159c9b4
154;comments-stats-dashboard;chore: introduce bunyan for logging (#50);2020-09-03T13:31:10Z;https://github.schibsted.io/RND/comments-stats-dashboard/commit/c260af7105ce92d20b8228f56b8067307167eb15
155;comments-stats-dashboard;fix: app name (#51);2020-09-03T13:47:12Z;https://github.schibsted.io/RND/comments-stats-dashboard/commit/15634c05a0a72ed4323ab6157d3ef3acb0772e6f
156;comments-spid-sync;chore: introduce bunyan for logging (#52);2020-09-03T13:54:25Z;https://github.schibsted.io/bergens-tidende/comments-spid-sync/commit/b413806118c7000d6a3a69a400107fa30f651148
157;comments-activity-store;Merge pull request #22 from bergens-tidende/bunyan;2020-09-03T13:55:09Z;https://github.schibsted.io/bergens-tidende/comments-activity-store/commit/46aa970965c53fb40f161a3b878fa0d386eeeef9
158;garmr;chore: introduce bunyan for logging (#87);2020-09-03T13:55:16Z;https://github.schibsted.io/bergens-tidende/garmr/commit/1e22ecef5fe353dec1928f374eaff9d13aaab56b
159;comments-front;chore: introduce bunyan for logging (#541);2020-09-03T14:07:33Z;https://github.schibsted.io/bergens-tidende/comments-front/commit/adc2b0cd964457575e3cd38a8e01879c714ae3f8
160;comment-rules-service;chore: introduce bunyan for logging (#69);2020-09-03T14:12:42Z;https://github.schibsted.io/bergens-tidende/comment-rules-service/commit/31781679e53a8a41c8f103df5d2543ed5ac6ad7c
161;moderation-service;pipe (#186);2020-09-03T14:12:48Z;https://github.schibsted.io/bergens-tidende/moderation-service/commit/2cc1da8255e7ddd2927b1a3c8fa3bf417e067c7c
